Timestamp,X Coord 7,X Coord 6,X Coord 5,X Coord 4,X Coord 3,X Coord 2,X Coord 1,X Coord 0,Y Coord 7,Y Coord 6,Y Coord 5,Y Coord 4,Y Coord 3,Y Coord 2,Y Coord 1,Y Coord 0
7254438,2.2054138,2.2266693,2.215744,2.2075043,2.2392883,2.2348175,2.2173615,2.2356415,280.9085,271.90506,292.2326,288.20923,271.8808,272.36115,296.0353,277.03165
7254852,2.2054443,2.2266693,2.2157135,2.2074585,2.2391357,2.234848,2.2172394,2.2357483,281.15384,271.8455,292.5028,288.24384,272.0137,272.56815,296.00806,276.44003
7255058,2.2054749,2.2266846,2.2157593,2.207428,2.239151,2.2349243,2.2172394,2.235611,281.1657,271.90988,292.4883,288.25293,271.81824,272.4761,296.14996,276.89642
7255266,2.2054749,2.2266998,2.2157898,2.2074432,2.239212,2.2349243,2.2173004,2.235672,281.15485,271.83093,292.2987,288.1655,271.69934,272.4471,295.74713,276.78134
7255473,2.2054443,2.2266693,2.2158508,2.2074432,2.2392273,2.234909,2.2173615,2.2358246,280.88638,271.77408,292.34482,288.1295,271.81207,272.55685,295.68796,276.85416
7255681,2.205368,2.2266693,2.2158508,2.2073975,2.2392273,2.234909,2.2173615,2.2359009,281.0202,271.7567,292.0837,288.1616,271.74734,272.67847,295.88016,276.8797
7255888,2.2054138,2.2266388,2.2158203,2.2074127,2.239212,2.23497,2.2173157,2.2359467,280.91327,271.9354,292.48096,288.01526,271.93823,272.44266,295.76456,277.1179
7256095,2.2054138,2.2266388,2.2158203,2.207367,2.2392273,2.2349396,2.2172852,2.235962,281.15854,271.88794,292.3056,288.2808,271.79672,272.48532,295.66605,276.9644
7256509,2.2054443,2.226654,2.215805,2.2073975,2.2392883,2.2349396,2.21727,2.2358398,281.17462,271.88837,292.4814,288.19745,272.03848,272.52704,295.82217,276.4641
7256716,2.2054443,2.2266235,2.2157898,2.2074127,2.2393494,2.2349243,2.217331,2.235672,281.0673,271.86328,292.37976,288.21805,271.96967,272.5598,295.9043,276.42453
7256924,2.2055054,2.2266235,2.2157135,2.207428,2.23938,2.2348938,2.21727,2.2357178,281.05054,271.62222,292.4623,288.14233,271.9103,272.55923,295.74475,276.55814
7257131,2.2055206,2.2266235,2.2157288,2.2074585,2.2393951,2.2348633,2.2172852,2.235672,281.03555,271.84137,292.438,288.37015,271.88766,272.4375,295.73816,276.6631
7257338,2.2056122,2.2266388,2.2156982,2.2074585,2.23938,2.2348175,2.2172852,2.2354736,280.9958,271.7941,292.39554,288.1552,271.8011,272.49985,295.77625,276.74307
7257545,2.2056122,2.2266846,2.2156982,2.207428,2.2393951,2.2347412,2.2172852,2.2358093,280.84793,271.8505,292.34097,288.23358,271.91837,272.34393,295.88394,276.46042
7257752,2.2056732,2.2266693,2.2157288,2.207428,2.23938,2.2346954,2.2173004,2.2356873,280.94196,271.77087,292.16754,288.0134,271.93762,272.60364,295.9325,276.5227
7258166,2.2056122,2.2266083,2.2157135,2.207428,2.239334,2.2346954,2.2173004,2.2355194,280.91455,271.73065,292.41162,288.3331,271.88635,272.48203,295.9028,277.0958
7258374,2.2056274,2.2266083,2.2156677,2.2074127,2.2392578,2.2347717,2.2172852,2.23555,280.82617,271.73987,292.2111,288.31985,271.90857,272.5655,295.80835,277.02267
7258581,2.205536,2.2266235,2.2156677,2.2074432,2.2392578,2.2347717,2.2172852,2.2353363,281.0389,271.94498,292.42627,288.20886,271.82117,272.55362,295.9106,276.62088
7258788,2.2054443,2.2266388,2.215622,2.2073975,2.2392883,2.2348175,2.21727,2.2352753,281.02795,271.75305,292.31934,288.17126,271.7562,272.39844,295.61627,276.61588
7258995,2.2053986,2.2266388,2.2155914,2.2074432,2.2392883,2.2348785,2.2173004,2.2352295,281.1987,271.845,292.47284,288.16785,271.8907,272.58478,295.79688,276.51755
7259202,2.2053833,2.226593,2.215622,2.2074432,2.239212,2.234848,2.2173004,2.2353516,281.15753,271.99692,292.35016,288.19077,271.76712,272.67926,295.6604,276.5341
7259617,2.2054138,2.226593,2.215622,2.2074738,2.2391663,2.2348175,2.2172852,2.2355042,280.90482,271.86618,292.40234,288.13013,271.8048,272.3994,295.69153,276.9631
7259823,2.20549,2.2265625,2.215622,2.2074585,2.239212,2.2348022,2.21727,2.2356262,281.0702,271.85452,292.39905,288.43332,271.67697,272.5157,295.90402,276.3867
7260031,2.2054443,2.2264557,2.215683,2.2074432,2.2391357,2.234848,2.21727,2.2356262,280.90063,271.92535,292.4578,288.22562,271.9294,272.39398,295.81573,276.91113
7260238,2.2053528,2.22641,2.215683,2.2073212,2.239151,2.234787,2.2171783,2.23555,281.04398,271.8029,292.3787,288.3644,271.74188,272.5371,295.6082,276.81955
7260445,2.205368,2.22641,2.215622,2.2073517,2.2391205,2.2348328,2.2171326,2.2355042,281.11786,271.69305,292.1764,288.1151,271.8313,272.407,296.07388,276.72617
7260653,2.2053833,2.2263794,2.215622,2.207428,2.2391052,2.2348022,2.2172089,2.235321,281.12714,271.8569,292.57764,287.97205,271.79736,272.43408,295.6013,276.91187
